date,market,bar_date,equity,cash,positions,orders,signals,risk
2026-09-23,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-23,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-18,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-24,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-24,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-24,1000000.0,1000000.0,,1,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,JP,2026-09-24,1000000.0,1000000.0,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
