scheme,w20_cagr,w20_dd,w20_sharpe,w20_calmar,w20_trades,w20_core_fees,w20_core_trades,w5_cagr,w5_dd,w5_sharpe,w5_calmar,w5_trades,w5_core_fees,w5_core_trades
P0 3x34%,1.96,-21.17,0.38,0.09,302,,,3.88,-9.57,0.62,0.41,84,,
P3 3x34%,8.02,-34.48,0.56,0.23,312,136268.0,492.0,14.9,-24.97,0.82,0.6,88,26477.0,135.0
P3b 3x34%,10.41,-60.91,0.55,0.17,303,146377.0,516.0,21.35,-24.97,0.99,0.86,90,33616.0,158.0
P0 2x50%,1.38,-21.47,0.23,0.06,245,,,5.84,-12.18,0.69,0.48,71,,
P3 2x50%,6.81,-33.72,0.49,0.2,243,129426.0,422.0,12.24,-24.91,0.69,0.49,71,28743.0,125.0
P3b 2x50%,9.46,-61.02,0.51,0.16,241,145574.0,447.0,17.13,-24.82,0.83,0.69,71,37895.0,135.0
P0 4x25%,0.9,-13.24,0.24,0.07,301,,,2.92,-4.39,0.63,0.67,87,,
P3 4x25%,8.12,-33.37,0.57,0.24,342,119119.0,515.0,15.65,-25.64,0.85,0.61,92,24057.0,139.0
P3b 4x25%,9.96,-60.21,0.54,0.17,340,127160.0,548.0,21.91,-25.75,1.02,0.85,100,30261.0,171.0
P0 5x20%,0.9,-13.54,0.29,0.07,294,,,1.46,-4.51,0.4,0.32,74,,
P3 5x20%,7.96,-33.12,0.57,0.24,359,100804.0,508.0,14.66,-25.68,0.81,0.57,82,17259.0,113.0
P3b 5x20%,9.48,-60.01,0.52,0.16,346,107690.0,526.0,20.27,-25.76,0.95,0.79,92,22220.0,144.0
P2 指数+择时,7.42,-34.49,0.52,0.22,0,9559.0,23.0,13.35,-26.15,0.74,0.51,0,2519.0,7.0
P5 指数持有,9.25,-59.88,0.51,0.15,0,341.0,1.0,18.9,-26.23,0.88,0.72,0,341.0,1.0
