scheme,w20_cagr,w20_dd,w20_sharpe,w20_calmar,w20_trades,w20_core_fees,w20_core_trades,w5_cagr,w5_dd,w5_sharpe,w5_calmar,w5_trades,w5_core_fees,w5_core_trades
P0 3x34%,2.83,-18.25,0.52,0.16,307,,,4.02,-8.99,0.63,0.45,85,,
P3 3x34%,9.11,-33.96,0.63,0.27,313,0.0,498.0,16.19,-25.03,0.88,0.65,89,0.0,137.0
P3b 3x34%,11.58,-61.15,0.6,0.19,308,0.0,521.0,21.86,-24.98,1.01,0.88,91,0.0,160.0
P0 2x50%,2.1,-21.88,0.33,0.1,241,,,5.74,-10.68,0.7,0.54,71,,
P3 2x50%,7.96,-32.63,0.55,0.24,242,0.0,423.0,13.83,-24.81,0.76,0.56,71,0.0,125.0
P3b 2x50%,9.71,-60.9,0.52,0.16,242,0.0,446.0,19.72,-26.02,0.92,0.76,71,0.0,133.0
P0 4x25%,1.74,-13.13,0.42,0.13,314,,,3.36,-4.18,0.72,0.8,87,,
P3 4x25%,8.77,-32.5,0.61,0.27,347,0.0,521.0,17.38,-25.7,0.93,0.68,93,0.0,140.0
P3b 4x25%,10.75,-60.48,0.57,0.18,343,0.0,553.0,23.44,-25.74,1.08,0.91,100,0.0,170.0
P0 5x20%,1.41,-12.12,0.42,0.12,306,,,1.72,-4.11,0.47,0.42,74,,
P3 5x20%,8.43,-33.51,0.6,0.25,362,0.0,516.0,15.11,-25.67,0.83,0.59,82,0.0,116.0
P3b 5x20%,10.24,-60.0,0.55,0.17,358,0.0,540.0,21.64,-25.76,1.0,0.84,93,0.0,146.0
P2 指数+择时,7.45,-34.35,0.53,0.22,0,0.0,23.0,13.38,-26.11,0.74,0.51,0,0.0,7.0
P5 指数持有,9.25,-59.87,0.51,0.15,0,0.0,1.0,18.9,-26.23,0.88,0.72,0,0.0,1.0
