scheme,w20_cagr,w20_dd,w20_sharpe,w20_calmar,w20_trades,w20_core_fees,w20_core_trades,w5_cagr,w5_dd,w5_sharpe,w5_calmar,w5_trades,w5_core_fees,w5_core_trades
P0 5x20%,1.62,-18.03,0.25,0.09,259,,,2.67,-11.52,0.43,0.23,60,,
P3 5x20%,3.38,-36.54,0.31,0.09,259,1892.06,431.0,5.26,-18.86,0.46,0.28,60,343.45,98.0
P3b 5x20%,6.13,-55.83,0.4,0.11,259,2097.16,431.0,7.13,-23.05,0.5,0.31,60,328.3,101.0
P0 3x34%,1.32,-26.04,0.19,0.05,176,,,5.2,-14.31,0.62,0.36,42,,
P3 3x34%,2.32,-36.87,0.23,0.06,176,1882.12,332.0,5.61,-21.16,0.46,0.27,42,420.03,79.0
P3b 3x34%,5.27,-56.36,0.36,0.09,176,2132.92,330.0,7.63,-25.8,0.51,0.3,42,423.31,80.0
P0 8x12%,1.29,-14.82,0.25,0.09,332,,,3.31,-6.66,0.7,0.5,70,,
P3 8x12%,4.28,-34.25,0.39,0.12,334,1518.36,483.0,7.27,-17.81,0.62,0.41,70,247.84,87.0
P3b 8x12%,7.15,-54.19,0.46,0.13,334,1741.08,492.0,8.79,-22.34,0.61,0.39,70,228.55,86.0
P0 10x10%,1.13,-12.6,0.25,0.09,354,,,2.31,-6.0,0.66,0.39,71,,
P3 10x10%,4.79,-33.38,0.43,0.14,356,1276.66,414.0,7.87,-17.23,0.67,0.46,72,199.08,72.0
P3b 10x10%,7.87,-53.22,0.5,0.15,356,1456.49,428.0,10.46,-22.31,0.71,0.47,72,159.79,73.0
P2 指数+择时,8.18,-33.12,0.66,0.25,0,176.0,17.0,10.38,-18.44,0.82,0.56,0,44.0,5.0
P5 指数持有,11.14,-54.71,0.65,0.2,0,0.0,1.0,12.94,-24.06,0.81,0.54,0,0.0,1.0
P3 5x20% SPYM,2.29,-38.24,0.24,0.06,259,3427.11,430.0,4.42,-19.92,0.39,0.22,60,694.71,99.0
P3b 5x20% SPYM,5.22,-55.67,0.37,0.09,259,3791.28,433.0,6.46,-23.67,0.46,0.27,60,660.31,101.0
P3 3x34% SPYM,0.96,-38.78,0.14,0.02,176,3348.99,332.0,4.33,-21.78,0.37,0.2,42,870.61,80.0
P3b 3x34% SPYM,3.97,-56.56,0.3,0.07,176,3770.37,330.0,6.75,-26.47,0.46,0.25,42,852.58,81.0
P3 8x12% SPYM,3.4,-36.24,0.33,0.09,334,2847.32,497.0,7.0,-18.62,0.59,0.38,70,560.77,106.0
P3b 8x12% SPYM,6.34,-54.66,0.43,0.12,334,3072.47,500.0,9.18,-23.14,0.62,0.4,70,499.82,109.0
P3 10x10% SPYM,4.35,-34.54,0.4,0.13,354,2441.88,423.0,7.5,-17.49,0.64,0.43,72,400.38,80.0
P3b 10x10% SPYM,7.44,-52.5,0.49,0.14,356,2684.42,433.0,9.92,-23.02,0.68,0.43,72,342.42,84.0
P2 指数+择时 SPYM,8.3,-33.41,0.67,0.25,0,374.0,17.0,10.62,-18.7,0.83,0.57,0,110.0,5.0
P5 指数持有 SPYM,11.27,-54.49,0.67,0.21,0,22.0,1.0,13.07,-24.31,0.82,0.54,0,22.0,1.0
