market,sleeve,period,cagr,dd,calmar,total,active_days
US,BA0,train,0.0,0.0,,0.0,0
US,BA0,test,0.0,0.0,,0.0,0
US,BA1,train,-1.1,-62.98,-0.017,-45.5,3709
US,BA1,test,-3.09,-70.04,-0.044,-47.9,1156
US,BA2,train,0.16,-41.01,0.004,9.1,2192
US,BA2,test,-1.21,-31.78,-0.038,-22.3,332
US,BA3,train,-0.97,-53.72,-0.018,-41.4,998
US,BA3,test,2.18,-22.9,0.095,56.4,197
US,BA4,train,-0.95,-55.31,-0.017,-40.9,989
US,BA4,test,1.46,-22.02,0.066,35.1,194
JP,BA0,train,0.0,0.0,,0.0,0
JP,BA0,test,0.0,0.0,,0.0,0
JP,BA1,train,-1.14,-56.84,-0.02,-36.8,3424
JP,BA1,test,-4.65,-80.15,-0.058,-62.7,1820
JP,BA2,train,0.47,-29.91,0.016,20.8,836
JP,BA2,test,-2.35,-43.26,-0.054,-38.9,531
JP,BA3,train,1.09,-26.98,0.04,54.2,870
JP,BA3,test,0.44,-27.2,0.016,9.6,348
JP,BA4,train,1.26,-24.48,0.051,64.9,857
JP,BA4,test,-0.25,-30.86,-0.008,-5.1,335
