detector,kind,params,US_tr_n_days,US_tr_acc,US_tr_bull_recall,US_tr_bear_recall,US_tr_bal_acc,US_tr_switches_per_yr,US_tr_bear_phases,US_tr_bear_lag_med,US_tr_bear_lag_mean,US_tr_bull_lag_med,US_tr_missed_bears,US_tr_false_alarms,US_tr_bh_cagr,US_tr_bh_dd,US_tr_bh_calmar,US_tr_sw_cagr,US_tr_sw_dd,US_tr_sw_calmar,US_tr_inv_cagr,US_tr_inv_dd,US_tr_inv_calmar,US_te_n_days,US_te_acc,US_te_bull_recall,US_te_bear_recall,US_te_bal_acc,US_te_switches_per_yr,US_te_bear_phases,US_te_bear_lag_med,US_te_bear_lag_mean,US_te_bull_lag_med,US_te_missed_bears,US_te_false_alarms,US_te_bh_cagr,US_te_bh_dd,US_te_bh_calmar,US_te_sw_cagr,US_te_sw_dd,US_te_sw_calmar,US_te_inv_cagr,US_te_inv_dd,US_te_inv_calmar,JP_tr_n_days,JP_tr_acc,JP_tr_bull_recall,JP_tr_bear_recall,JP_tr_bal_acc,JP_tr_switches_per_yr,JP_tr_bear_phases,JP_tr_bear_lag_med,JP_tr_bear_lag_mean,JP_tr_bull_lag_med,JP_tr_missed_bears,JP_tr_false_alarms,JP_tr_bh_cagr,JP_tr_bh_dd,JP_tr_bh_calmar,JP_tr_sw_cagr,JP_tr_sw_dd,JP_tr_sw_calmar,JP_tr_inv_cagr,JP_tr_inv_dd,JP_tr_inv_calmar,JP_te_n_days,JP_te_acc,JP_te_bull_recall,JP_te_bear_recall,JP_te_bal_acc,JP_te_switches_per_yr,JP_te_bear_phases,JP_te_bear_lag_med,JP_te_bear_lag_mean,JP_te_bull_lag_med,JP_te_missed_bears,JP_te_false_alarms,JP_te_bh_cagr,JP_te_bh_dd,JP_te_bh_calmar,JP_te_sw_cagr,JP_te_sw_dd,JP_te_sw_calmar,JP_te_inv_cagr,JP_te_inv_dd,JP_te_inv_calmar,eligible,obj,sw_mean
"ma_band(L=100,b=0.0,k=1)",ma_band,"{""L"": 100, ""b"": 0.0, ""k"": 1}",13841,0.7367,0.7378,0.7311,0.7345,10.292,9,15.0,15.6,48.0,0,215,7.77,-49.15,0.158,5.53,-54.54,0.101,2.94,-70.51,0.042,5212,0.803,0.8008,0.8214,0.8111,11.004,4,5.0,5.0,20.0,0,96,9.18,-56.78,0.162,4.94,-26.77,0.185,-0.76,-60.59,-0.013,9860,0.7691,0.7751,0.7541,0.7646,8.653,14,16.0,18.1,30.0,0,110,6.27,-80.45,0.078,7.38,-30.55,0.242,6.83,-45.45,0.15,5069,0.7351,0.7247,0.7735,0.7491,13.465,11,14.0,14.1,21.5,0,112,7.0,-61.37,0.114,1.62,-40.06,0.04,-5.63,-82.4,-0.068,False,0.7495499999999999,9.4725
"ma_band(L=100,b=0.0,k=3)",ma_band,"{""L"": 100, ""b"": 0.0, ""k"": 3}",13841,0.738,0.7408,0.7249,0.7329,5.201,9,22.0,24.6,58.0,0,110,7.77,-49.15,0.158,4.71,-45.75,0.103,0.88,-67.92,0.013,5212,0.807,0.806,0.8158,0.8109,3.764,4,8.5,9.8,22.0,0,32,9.18,-56.78,0.162,7.78,-18.99,0.41,3.96,-38.81,0.102,9860,0.765,0.7741,0.7425,0.7583,3.801,14,18.5,23.4,32.0,0,46,6.27,-80.45,0.078,7.62,-35.13,0.217,6.89,-42.97,0.16,5069,0.7309,0.7252,0.7521,0.7387,5.454,11,16.5,18.9,23.5,1,42,7.0,-61.37,0.114,2.43,-35.46,0.068,-4.71,-86.16,-0.055,False,0.7456,4.5009999999999994
"ma_band(L=100,b=0.0,k=5)",ma_band,"{""L"": 100, ""b"": 0.0, ""k"": 5}",13841,0.733,0.7378,0.7101,0.724,3.891,9,30.0,28.2,65.0,0,81,7.77,-49.15,0.158,4.86,-35.65,0.136,1.13,-62.6,0.018,5212,0.812,0.8102,0.8269,0.8186,2.703,4,10.5,11.2,26.0,0,23,9.18,-56.78,0.162,6.99,-24.42,0.286,2.39,-55.71,0.043,9860,0.7614,0.7727,0.7334,0.7531,3.151,14,20.5,28.1,34.0,0,37,6.27,-80.45,0.078,6.73,-35.18,0.191,5.08,-40.48,0.126,5069,0.725,0.722,0.7363,0.7291,4.006,11,18.5,21.2,34.5,1,30,7.0,-61.37,0.114,1.8,-43.5,0.041,-5.99,-90.41,-0.066,False,0.73855,3.521
"ma_band(L=100,b=0.0,k=10)",ma_band,"{""L"": 100, ""b"": 0.0, ""k"": 10}",13841,0.7401,0.7485,0.7006,0.7246,2.437,9,35.0,47.9,70.0,0,49,7.77,-49.15,0.158,5.08,-36.11,0.141,1.49,-70.78,0.021,5212,0.8091,0.8126,0.779,0.7958,2.124,4,15.5,15.0,31.0,0,17,9.18,-56.78,0.162,6.69,-25.79,0.259,1.88,-45.26,0.041,9860,0.754,0.7726,0.7082,0.7404,2.151,14,33.0,37.2,35.5,1,22,6.27,-80.45,0.078,6.16,-46.39,0.133,3.92,-55.58,0.07,5069,0.7214,0.7295,0.6915,0.7105,2.606,11,24.0,26.8,43.5,2,17,7.0,-61.37,0.114,3.18,-37.84,0.084,-3.28,-84.75,-0.039,False,0.7324999999999999,2.2939999999999996
"ma_band(L=100,b=0.01,k=1)",ma_band,"{""L"": 100, ""b"": 0.01, ""k"": 1}",13841,0.7364,0.7376,0.7307,0.7342,4.582,9,21.0,22.3,61.0,0,97,7.77,-49.15,0.158,4.79,-49.62,0.097,0.95,-71.76,0.013,5212,0.8018,0.7987,0.8287,0.8137,4.537,4,7.0,8.5,20.0,0,39,9.18,-56.78,0.162,5.82,-23.64,0.246,0.24,-52.74,0.005,9860,0.7677,0.7741,0.752,0.7631,3.701,14,17.0,19.7,32.0,0,41,6.27,-80.45,0.078,7.1,-37.93,0.187,5.76,-50.97,0.113,5069,0.7262,0.718,0.7568,0.7374,6.612,11,15.0,17.2,26.5,0,52,7.0,-61.37,0.114,1.45,-42.12,0.034,-6.55,-87.14,-0.075,False,0.74865,4.1415
"ma_band(L=100,b=0.01,k=3)",ma_band,"{""L"": 100, ""b"": 0.01, ""k"": 3}",13841,0.7359,0.7408,0.713,0.7269,3.019,9,30.0,28.1,63.0,0,58,7.77,-49.15,0.158,5.16,-47.38,0.109,1.55,-61.98,0.025,5212,0.8166,0.8139,0.8398,0.8268,2.606,4,9.0,10.0,24.0,0,22,9.18,-56.78,0.162,6.66,-21.06,0.316,1.75,-43.74,0.04,9860,0.7649,0.7777,0.7334,0.7556,2.451,14,22.5,27.9,36.5,0,25,6.27,-80.45,0.078,7.63,-34.85,0.219,6.78,-45.87,0.148,5069,0.7153,0.711,0.7316,0.7213,3.62,11,17.5,20.3,39.5,1,26,7.0,-61.37,0.114,2.12,-44.05,0.048,-5.47,-90.47,-0.06,False,0.74125,2.7350000000000003
"ma_band(L=100,b=0.01,k=5)",ma_band,"{""L"": 100, ""b"": 0.01, ""k"": 5}",13841,0.7301,0.7371,0.6973,0.7172,2.546,9,32.0,31.4,65.0,0,50,7.77,-49.15,0.158,4.72,-40.86,0.116,0.75,-55.17,0.014,5212,0.8139,0.8122,0.8287,0.8204,2.124,4,11.0,11.5,26.0,0,17,9.18,-56.78,0.162,6.85,-23.67,0.289,2.07,-42.88,0.048,9860,0.76,0.7776,0.7169,0.7473,2.051,14,28.5,31.9,38.5,0,20,6.27,-80.45,0.078,7.01,-36.89,0.19,5.55,-44.17,0.126,5069,0.7143,0.7127,0.7204,0.7166,3.041,11,21.0,23.2,39.5,2,22,7.0,-61.37,0.114,2.57,-37.46,0.069,-4.51,-85.94,-0.052,False,0.73225,2.2984999999999998
"ma_band(L=100,b=0.01,k=10)",ma_band,"{""L"": 100, ""b"": 0.01, ""k"": 10}",13841,0.734,0.7491,0.6627,0.7059,1.746,9,51.0,62.4,70.0,0,33,7.77,-49.15,0.158,5.49,-35.29,0.156,2.26,-50.94,0.044,5212,0.7974,0.8021,0.7569,0.7795,1.834,4,20.5,19.0,53.0,0,14,9.18,-56.78,0.162,5.69,-27.27,0.209,-0.07,-48.26,-0.001,9860,0.7555,0.7766,0.7036,0.7401,1.551,14,36.0,39.7,42.0,1,13,6.27,-80.45,0.078,6.61,-37.46,0.176,4.75,-54.91,0.087,5069,0.7098,0.7155,0.6887,0.7021,2.22,11,26.0,27.7,47.0,2,13,7.0,-61.37,0.114,3.87,-35.43,0.109,-2.02,-76.6,-0.026,False,0.723,1.6484999999999999
"ma_band(L=100,b=0.02,k=1)",ma_band,"{""L"": 100, ""b"": 0.02, ""k"": 1}",13841,0.7362,0.7337,0.748,0.7409,2.728,9,28.0,26.3,62.0,0,53,7.77,-49.15,0.158,5.08,-48.71,0.104,1.33,-69.23,0.019,5212,0.7957,0.791,0.8361,0.8135,2.992,4,8.0,9.5,22.0,0,25,9.18,-56.78,0.162,5.81,-22.58,0.257,0.07,-47.68,0.002,9860,0.7554,0.7633,0.7359,0.7496,2.401,14,25.5,26.3,35.0,0,24,6.27,-80.45,0.078,7.62,-29.48,0.258,6.65,-40.16,0.166,5069,0.7207,0.7072,0.7707,0.739,3.62,11,16.5,18.3,34.5,1,26,7.0,-61.37,0.114,3.82,-34.4,0.111,-2.47,-76.83,-0.032,False,0.74525,2.5645
"ma_band(L=100,b=0.02,k=3)",ma_band,"{""L"": 100, ""b"": 0.02, ""k"": 3}",13841,0.7377,0.7481,0.6891,0.7186,1.964,9,41.0,44.6,64.0,0,37,7.77,-49.15,0.158,6.28,-35.45,0.177,3.65,-49.38,0.074,5212,0.8166,0.816,0.8214,0.8187,1.93,4,10.0,11.8,30.0,0,15,9.18,-56.78,0.162,7.22,-21.25,0.34,2.78,-41.07,0.068,9860,0.7622,0.7799,0.7187,0.7493,1.851,14,28.5,31.4,37.0,0,16,6.27,-80.45,0.078,7.43,-38.2,0.194,6.32,-45.77,0.138,5069,0.7065,0.6979,0.7381,0.718,2.847,11,19.5,21.6,44.0,1,19,7.0,-61.37,0.114,1.66,-37.9,0.044,-6.33,-90.65,-0.07,False,0.73395,1.9075
