target,combo,k,signs,disc_auc,val_auc,val_ba,p,g1,g2,g3
T1_breakout,Q1,1,−,0.5442,0.5119,0.4829,0.3194,False,True,False
T1_breakout,Q2,1,−,0.5376,0.5259,0.5261,0.2294,False,True,False
T1_breakout,Q3,1,−,0.5544,0.4804,0.4943,0.5654,False,False,False
T1_breakout,Q4,1,−,0.5164,0.5335,0.5428,0.1873,False,True,False
T1_breakout,B1,1,−,0.5279,0.5236,0.5192,0.2424,False,True,False
T1_breakout,B2,1,−,0.5577,0.5186,0.511,0.2736,False,True,False
T1_breakout,M1,1,−,0.5311,0.4954,0.4941,0.4429,False,False,False
T1_breakout,M2,1,+,0.5167,0.5929,0.5696,0.025,False,True,True
T1_breakout,M3,1,−,0.5751,0.4943,0.4545,0.4519,False,False,False
T1_breakout,M4,1,−,0.5007,0.5014,0.473,0.3962,False,True,False
T1_breakout,M5,1,−,0.531,0.5038,0.5,0.3783,False,True,False
T1_breakout,M6,1,+,0.5075,0.5003,0.5,0.4045,False,True,False
T1_breakout,R1,1,−,0.5403,0.4844,0.4987,0.5325,False,False,False
T1_breakout,R2,1,+,0.5362,0.4787,0.4898,0.5784,False,False,False
T1_breakout,R3,1,−,0.5613,0.4731,0.5134,0.6229,False,False,False
T1_breakout,R4,1,−,0.5417,0.552,0.5609,0.1087,False,True,True
T1_breakout,R5,1,−,0.5555,0.5048,0.5168,0.371,False,True,False
T1_breakout,C1,1,+,0.554,0.4977,0.4972,0.425,False,False,False
T1_breakout,C2,1,+,0.5246,0.5682,0.5169,0.0633,False,True,True
T1_breakout,V1,1,−,0.5242,0.5886,0.5798,0.0297,False,True,True
T1_breakout,U1,1,+,0.5271,0.4773,0.5,0.5897,False,False,False
T1_breakout,U2,1,−,0.5053,0.4624,0.4732,0.7051,False,False,False
T1_breakout,T1,1,−,0.5447,0.5562,0.538,0.0953,False,True,True
T1_breakout,T2,1,−,0.543,0.5084,0.5058,0.3445,False,True,False
T1_breakout,T3,1,−,0.5538,0.4865,0.4603,0.5151,False,False,False
T1_breakout,E1,1,−,0.6017,0.5209,0.5266,0.2591,False,True,False
T1_breakout,E2,1,−,0.5407,0.4647,0.4693,0.6877,False,False,False
T1_breakout,E3,1,−,0.5087,0.5771,0.5877,0.0459,False,True,True
T1_breakout,E4,1,+,0.5805,0.5231,0.4595,0.2454,False,True,False
T1_breakout,H1,1,−,0.5162,0.5198,0.5326,0.2659,False,True,False
T1_breakout,S01,1,+,0.5694,0.5589,0.5237,0.0869,False,True,True
T1_breakout,S02,1,−,0.5094,0.4614,0.4883,0.7124,False,False,False
