family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T1,1,1,0,0.0473,0.2254,0.3296,-0.1654,1.9834,-1.2123,False,False
外部需求 → 日本,jp_exp,T1,1,1,3,0.7603,0.047,0.0446,0.2372,0.3051,1.9864,False,False
外部需求 → 日本,jp_exp,T1,1,1,6,0.172,0.6814,0.1693,-0.0581,1.3659,-0.4106,False,False
外部需求 → 日本,jp_exp,T1,1,3,0,0.112,0.1909,0.5758,-0.2918,1.5893,-1.3079,False,False
外部需求 → 日本,jp_exp,T1,1,3,3,0.9965,0.2357,0.0012,0.2539,0.0044,1.1857,False,False
外部需求 → 日本,jp_exp,T1,1,3,6,0.6058,0.3791,0.1211,-0.1718,0.5161,-0.8795,False,False
外部需求 → 日本,jp_exp,T1,1,6,0,0.3238,0.7003,0.5614,0.107,0.9867,0.385,False,False
外部需求 → 日本,jp_exp,T1,1,6,3,0.7044,0.6638,0.1297,0.0998,0.3793,0.4346,False,False
外部需求 → 日本,jp_exp,T1,1,6,6,0.6672,0.4955,0.2017,0.1485,0.43,0.6816,False,False
外部需求 → 日本,jp_exp,T1,3,1,0,0.0493,0.3261,0.1375,-0.0805,1.966,-0.982,False,False
外部需求 → 日本,jp_exp,T1,3,1,3,0.9568,0.1948,-0.0031,0.0968,-0.0542,1.2965,False,False
外部需求 → 日本,jp_exp,T1,3,1,6,0.8346,0.2672,0.0128,-0.0714,0.2088,-1.1096,False,False
外部需求 → 日本,jp_exp,T1,3,3,0,0.3244,0.3429,0.215,0.1242,0.9855,0.9485,False,False
外部需求 → 日本,jp_exp,T1,3,3,3,0.9334,0.9084,0.0114,0.0198,0.0836,0.115,False,False
外部需求 → 日本,jp_exp,T1,3,3,6,0.8075,0.6571,0.0422,-0.049,0.2437,-0.444,False,False
外部需求 → 日本,jp_exp,T1,3,6,0,0.4587,0.3915,0.2163,0.1825,0.7411,0.857,False,False
外部需求 → 日本,jp_exp,T1,3,6,3,0.839,0.9114,0.0504,-0.0234,0.2032,-0.1113,False,False
外部需求 → 日本,jp_exp,T1,3,6,6,0.3842,0.1858,0.2195,0.195,0.8703,1.3233,False,False
外部需求 → 日本,jp_exp,T1,6,1,0,0.2344,0.7225,0.0586,0.0186,1.1892,0.3551,False,False
外部需求 → 日本,jp_exp,T1,6,1,3,0.8422,0.7299,0.0071,0.024,0.1991,0.3453,False,False
外部需求 → 日本,jp_exp,T1,6,1,6,0.6937,0.5137,0.0174,0.0248,0.3939,0.6531,False,False
外部需求 → 日本,jp_exp,T1,6,3,0,0.4277,0.5754,0.1033,0.0806,0.7932,0.5602,False,False
外部需求 → 日本,jp_exp,T1,6,3,3,0.8861,0.9384,0.0149,-0.0093,0.1432,-0.0772,False,False
外部需求 → 日本,jp_exp,T1,6,3,6,0.4321,0.1752,0.0883,0.1131,0.7856,1.3558,False,False
外部需求 → 日本,jp_exp,T1,6,6,0,0.5408,0.6572,0.1128,0.0945,0.6116,0.4438,False,False
外部需求 → 日本,jp_exp,T1,6,6,3,0.5995,0.5448,0.1008,0.0996,0.5252,0.6056,False,False
外部需求 → 日本,jp_exp,T1,6,6,6,0.707,0.0006,0.0618,0.3517,0.3759,3.4132,False,False
外部需求 → 日本,jp_exp,T10,1,1,0,0.1406,0.4107,-0.1353,0.1224,-1.4736,0.8227,False,False
