factor,sector,lag,half,from,to,r,t,n,p
rate_jp,auto,0,H1,2006-10-02,2016-07-06,0.12926494890275567,6.374257874663062,2393,1.8385101805544767e-10
rate_jp,bank,0,H1,2006-10-02,2016-07-06,0.056568908137312204,2.770534602998884,2393,0.005596435342926223
rate_jp,chemical,0,H1,2006-10-02,2016-07-06,0.059201639281432045,2.899919366715603,2393,0.0037325866574898017
rate_jp,construction,0,H1,2006-10-02,2016-07-06,-0.04803922070961623,-2.351729928184136,2393,0.018686336807163577
rate_jp,consumer,0,H1,2006-10-02,2016-07-06,-0.21104819758788151,-10.557606848390511,2393,4.684524975659956e-26
rate_jp,energy,0,H1,2006-10-02,2016-07-06,-0.03007390228708097,-1.471214707478263,2393,0.14123306094782995
rate_jp,finance,0,H1,2006-10-02,2016-07-06,0.1286843562095165,6.345144744846031,2393,2.2221641694841056e-10
rate_jp,food,0,H1,2006-10-02,2016-07-06,-0.243483823519673,-12.275260623810771,2393,1.2299510658030298e-34
rate_jp,hardware,0,H1,2006-10-02,2016-07-06,0.1755688356845254,8.720391537844614,2393,2.772414084759689e-18
rate_jp,insurance,0,H1,2006-10-02,2016-07-06,0.12929432880293712,6.375731271750471,2393,1.8209197341415344e-10
rate_jp,machinery,0,H1,2006-10-02,2016-07-06,0.2132058655633681,10.67065623898912,2393,1.3963667482646793e-26
rate_jp,paper,0,H1,2006-10-02,2016-07-06,-0.1354581260112007,-6.685228765618107,2393,2.3056418425842385e-11
rate_jp,pharma,0,H1,2006-10-02,2016-07-06,-0.24511559378857156,-12.36276648089246,2393,4.1560327974104826e-35
rate_jp,precision,0,H1,2006-10-02,2016-07-06,0.059520148251276266,2.915576455360887,2393,0.0035503210731360558
rate_jp,realestate,0,H1,2006-10-02,2016-07-06,0.06399997993489315,3.1358904821434326,2393,0.0017133317214056679
rate_jp,retail,0,H1,2006-10-02,2016-07-06,-0.1734640609596834,-8.61258517252175,2393,7.143119088365291e-18
rate_jp,semis,0,H1,2006-10-02,2016-07-06,0.14728767181442093,7.281464742622023,2393,3.3021495913741625e-13
rate_jp,shipping,0,H1,2006-10-02,2016-07-06,0.012919902592519386,0.6318082281850691,2393,0.5275121963436721
rate_jp,software_internet,0,H1,2006-10-02,2016-07-06,-0.2130890419739029,-10.66453118506213,2393,1.4914932059299248e-26
rate_jp,steel_metal,0,H1,2006-10-02,2016-07-06,0.12865893157514957,6.3438700086692315,2393,2.2406390970307977e-10
rate_jp,telecom,0,H1,2006-10-02,2016-07-06,-0.20514369089071982,-10.24906445555979,2393,1.194944879381217e-24
rate_jp,trading,0,H1,2006-10-02,2016-07-06,0.0823187932626349,4.038920126791824,2393,5.369784513824354e-05
rate_jp,utility,0,H1,2006-10-02,2016-07-06,-0.2055372310497445,-10.269592264702329,2393,9.661211503972498e-25
rate_jp,auto,1,H1,2006-10-02,2016-07-06,0.04177438454871487,2.044462376645617,2393,0.04090789056088535
rate_jp,bank,1,H1,2006-10-02,2016-07-06,-0.023787840340559085,-1.1635035507732026,2393,0.24462525832138005
rate_jp,chemical,1,H1,2006-10-02,2016-07-06,0.03229722280254125,1.580089162554515,2393,0.11408644883276506
rate_jp,construction,1,H1,2006-10-02,2016-07-06,-0.002776530642093643,-0.13576690971473757,2393,0.8920055510170206
rate_jp,consumer,1,H1,2006-10-02,2016-07-06,-0.03001316915492488,-1.4682409624184922,2393,0.14203878113566457
rate_jp,energy,1,H1,2006-10-02,2016-07-06,-0.02715962884301661,-1.3285376161720555,2393,0.18400056539175397
rate_jp,finance,1,H1,2006-10-02,2016-07-06,0.04573885256966984,2.2388748131486267,2393,0.025164062717451745
rate_jp,food,1,H1,2006-10-02,2016-07-06,-0.059001531474637756,-2.8900830321971314,2393,0.0038514008473203984
rate_jp,hardware,1,H1,2006-10-02,2016-07-06,0.01438816715034147,0.703623313727624,2393,0.48166738861349256
rate_jp,insurance,1,H1,2006-10-02,2016-07-06,0.0395710123533475,1.9364542407317682,2393,0.05281209179069461
rate_jp,machinery,1,H1,2006-10-02,2016-07-06,0.05456739971986255,2.6722100281716963,2393,0.007535346878545879
rate_jp,paper,1,H1,2006-10-02,2016-07-06,0.006939096028787691,0.3393150648684174,2393,0.7343723950132848
rate_jp,pharma,1,H1,2006-10-02,2016-07-06,-0.047345231743119935,-2.3176792470453913,2393,0.02046675971898704
rate_jp,precision,1,H1,2006-10-02,2016-07-06,-0.03510579947967109,-1.7176569736214173,2393,0.08585920171642533
rate_jp,realestate,1,H1,2006-10-02,2016-07-06,-0.02781454873659172,-1.360598122022453,2393,0.17364072540402173
rate_jp,retail,1,H1,2006-10-02,2016-07-06,-0.0274860523211551,-1.3445169139221806,2393,0.17878129071489252
rate_jp,semis,1,H1,2006-10-02,2016-07-06,-0.0013181765845091272,-0.06445606047894276,2393,0.9486070929776599
rate_jp,shipping,1,H1,2006-10-02,2016-07-06,0.051285330352238305,2.5110469633460077,2393,0.012037368171847269
rate_jp,software_internet,1,H1,2006-10-02,2016-07-06,-0.04433884982103434,-2.1702088407677445,2393,0.029991028649624364
rate_jp,steel_metal,1,H1,2006-10-02,2016-07-06,0.050819948356517736,2.4882015250952962,2393,0.012839095712807561
rate_jp,telecom,1,H1,2006-10-02,2016-07-06,-0.0767764897871439,-3.7653194732931845,2393,0.0001663362671199973
rate_jp,trading,1,H1,2006-10-02,2016-07-06,0.02304597898328486,1.1271982628844122,2393,0.2596586647877533
rate_jp,utility,1,H1,2006-10-02,2016-07-06,-0.01363899976934762,-0.6669798413345454,2393,0.5047850099368882
rate_jp,auto,2,H1,2006-10-02,2016-07-06,0.029190684000936707,1.4279702804475998,2393,0.15330041289779162
rate_jp,bank,2,H1,2006-10-02,2016-07-06,0.030024612404058224,1.4688012699265944,2393,0.14188669952594862
rate_jp,chemical,2,H1,2006-10-02,2016-07-06,0.010142512709381869,0.49597260375593216,2393,0.6199137400769482
rate_jp,construction,2,H1,2006-10-02,2016-07-06,-0.0028752859560241587,-0.14059589036037212,2393,0.8881891950058698
rate_jp,consumer,2,H1,2006-10-02,2016-07-06,-0.003994894037166858,-0.19534329900128145,2393,0.8451242022254702
rate_jp,energy,2,H1,2006-10-02,2016-07-06,0.004583823166204524,0.22414146482547195,2393,0.8226472288997353
rate_jp,finance,2,H1,2006-10-02,2016-07-06,-0.022755144228056207,-1.1129658732161072,2393,0.2657230866008077
rate_jp,food,2,H1,2006-10-02,2016-07-06,-0.036839593998666854,-1.802600661545701,2393,0.07145095306210877
rate_jp,hardware,2,H1,2006-10-02,2016-07-06,0.03277495728075604,1.6034864960690665,2393,0.10882728815012838
rate_jp,insurance,2,H1,2006-10-02,2016-07-06,0.05149133426407501,2.521160145622431,2393,0.011696860436276862
