factor,ticker,k,sign,r_disc,t_disc,replicated
rate_jp,1801.T,24,-1.0,-0.1657,-3.59,False
rate_jp,1808.T,1,1.0,0.1659,3.68,True
rate_jp,2502.T,23,1.0,0.1468,3.17,False
rate_jp,2871.T,5,-1.0,-0.1395,-3.07,True
rate_jp,3099.T,22,1.0,0.1526,3.3,False
rate_jp,4307.T,12,1.0,0.1592,3.49,False
rate_jp,4502.T,21,-1.0,-0.1502,-3.25,False
rate_jp,4503.T,23,1.0,0.1589,3.44,False
rate_jp,4523.T,21,-1.0,-0.1628,-3.54,False
rate_jp,4902.T,19,-1.0,-0.1663,-3.62,False
rate_jp,5631.T,20,-1.0,-0.1765,-3.85,False
rate_jp,5714.T,21,1.0,0.1457,3.16,False
rate_jp,6273.T,7,-1.0,-0.1403,-3.08,False
rate_jp,6301.T,19,-1.0,-0.1392,-3.02,False
rate_jp,6326.T,5,1.0,0.1578,3.48,False
rate_jp,6471.T,21,1.0,0.1752,3.81,False
rate_jp,6724.T,19,1.0,0.1457,3.16,True
rate_jp,6770.T,18,-1.0,-0.1388,-3.01,False
rate_jp,7201.T,11,-1.0,-0.1598,-3.51,False
rate_jp,7267.T,7,-1.0,-0.1857,-4.11,False
rate_jp,7752.T,23,-1.0,-0.1413,-3.05,False
rate_jp,7832.T,26,1.0,0.1493,3.22,False
rate_jp,8015.T,25,-1.0,-0.1534,-3.31,False
rate_jp,8035.T,26,-1.0,-0.1497,-3.23,False
rate_jp,8058.T,25,-1.0,-0.1782,-3.86,False
rate_jp,8267.T,10,1.0,0.1553,3.41,False
rate_jp,8304.T,21,-1.0,-0.1439,-3.12,False
rate_jp,8697.T,10,-1.0,-0.1574,-3.1,False
rate_jp,8725.T,8,-1.0,-0.1542,-3.12,True
rate_jp,8801.T,2,-1.0,-0.1621,-3.59,False
rate_jp,9101.T,25,-1.0,-0.1724,-3.73,False
rate_jp,9104.T,25,-1.0,-0.1527,-3.3,False
rate_jp,9433.T,24,1.0,0.1406,3.03,False
rate_jp,9531.T,19,1.0,0.1751,3.82,False
rate_jp,9735.T,21,-1.0,-0.1665,-3.62,False
rate_jp,9766.T,20,-1.0,-0.1572,-3.41,False
rate_jp,9983.T,14,-1.0,-0.1831,-4.02,False
rate_jp,1719.T,17,1.0,0.1571,3.42,False
rate_jp,2371.T,7,-1.0,-0.1483,-3.26,False
rate_jp,2587.T,9,1.0,0.2589,3.02,False
rate_jp,2670.T,21,-1.0,-0.1653,-3.59,False
rate_jp,3105.T,26,-1.0,-0.1414,-3.04,False
rate_jp,3635.T,25,1.0,0.1554,3.36,False
rate_jp,4045.T,20,-1.0,-0.144,-3.12,False
rate_jp,4186.T,7,-1.0,-0.1404,-3.08,False
rate_jp,4272.T,23,1.0,0.145,3.13,False
rate_jp,4544.T,17,-1.0,-0.1524,-3.32,False
rate_jp,4612.T,10,-1.0,-0.175,-3.85,False
rate_jp,4684.T,4,1.0,0.1427,3.15,False
rate_jp,4733.T,7,1.0,0.1472,3.24,False
rate_jp,4768.T,12,1.0,0.1395,3.05,False
rate_jp,4912.T,26,1.0,0.1408,3.03,False
rate_jp,5393.T,12,1.0,0.1606,3.52,False
rate_jp,6136.T,10,-1.0,-0.1473,-3.23,False
rate_jp,6141.T,5,1.0,0.1414,3.11,False
rate_jp,6368.T,3,1.0,0.1512,3.34,False
rate_jp,6370.T,5,1.0,0.1558,3.44,False
rate_jp,6417.T,23,1.0,0.1438,3.11,False
rate_jp,6481.T,21,1.0,0.1412,3.05,False
rate_jp,6586.T,19,-1.0,-0.1411,-3.06,False
rate_jp,6674.T,1,1.0,0.1386,3.06,False
rate_jp,6849.T,21,-1.0,-0.1465,-3.17,False
rate_jp,6952.T,1,-1.0,-0.1519,-3.36,False
rate_jp,7189.T,9,-1.0,-0.1372,-3.01,False
rate_jp,7309.T,3,1.0,0.1381,3.05,False
rate_jp,7701.T,5,1.0,0.1512,3.33,False
rate_jp,7729.T,12,1.0,0.1695,3.72,False
rate_jp,8111.T,7,1.0,0.1677,3.7,False
rate_jp,8113.T,23,1.0,0.193,4.2,False
rate_jp,8227.T,23,1.0,0.1397,3.02,False
rate_jp,9401.T,19,1.0,0.1465,3.18,False
rate_jp,9449.T,1,1.0,0.157,3.48,False
rate_jp,9989.T,19,1.0,0.1746,3.81,False
rate_jp,1377.T,19,1.0,0.1444,3.13,True
rate_jp,1766.T,5,1.0,0.1647,3.64,False
rate_jp,1861.T,1,1.0,0.1396,3.09,False
rate_jp,1882.T,17,1.0,0.1441,3.13,False
rate_jp,1898.T,24,-1.0,-0.1878,-4.08,False
rate_jp,1926.T,24,-1.0,-0.1457,-3.15,False
rate_jp,1961.T,1,1.0,0.1428,3.16,False
rate_jp,1979.T,1,1.0,0.1396,3.09,False
rate_jp,1980.T,23,1.0,0.1592,3.45,False
rate_jp,2168.T,19,1.0,0.1594,3.47,False
rate_jp,2602.T,21,-1.0,-0.1455,-3.15,False
rate_jp,2659.T,7,1.0,0.1451,3.19,False
rate_jp,3201.T,19,1.0,0.1447,3.14,False
rate_jp,3660.T,15,-1.0,-0.2245,-3.22,False
rate_jp,3778.T,10,-1.0,-0.1373,-3.0,False
rate_jp,4547.T,19,1.0,0.144,3.12,True
rate_jp,4819.T,10,-1.0,-0.1576,-3.46,False
rate_jp,4975.T,14,1.0,0.1379,3.0,False
rate_jp,5202.T,8,1.0,0.1418,3.11,False
rate_jp,5302.T,20,-1.0,-0.1726,-3.76,False
rate_jp,5857.T,20,-1.0,-0.1591,-3.46,False
rate_jp,5949.T,12,1.0,0.1663,3.65,False
rate_jp,5988.T,12,1.0,0.1428,3.12,False
rate_jp,6104.T,5,1.0,0.1498,3.3,False
rate_jp,6143.T,2,1.0,0.1475,3.26,False
rate_jp,6277.T,16,-1.0,-0.1418,-3.09,False
rate_jp,6282.T,9,-1.0,-0.159,-3.5,False
rate_jp,6395.T,5,1.0,0.1791,3.97,False
rate_jp,6419.T,18,1.0,0.1486,3.23,False
rate_jp,6474.T,2,1.0,0.1527,3.38,False
rate_jp,6486.T,26,1.0,0.1476,3.18,False
rate_jp,6490.T,24,-1.0,-0.1577,-3.41,False
rate_jp,6622.T,2,1.0,0.1399,3.09,False
rate_jp,6652.T,7,1.0,0.1618,3.57,False
rate_jp,6807.T,2,1.0,0.1697,3.76,False
rate_jp,6810.T,4,1.0,0.1549,3.19,False
rate_jp,6859.T,2,1.0,0.1517,3.36,False
rate_jp,6908.T,1,1.0,0.1516,3.36,False
rate_jp,6914.T,9,-1.0,-0.1385,-3.03,False
rate_jp,6999.T,26,1.0,0.14,3.01,False
rate_jp,7220.T,12,1.0,0.1531,3.35,False
rate_jp,7239.T,12,1.0,0.1586,3.47,False
rate_jp,7433.T,12,1.0,0.1457,3.19,False
rate_jp,7630.T,19,1.0,0.15,3.26,False
rate_jp,7762.T,18,1.0,0.1637,3.57,False
rate_jp,7990.T,20,1.0,0.1548,3.36,False
rate_jp,7995.T,16,-1.0,-0.1428,-3.11,True
rate_jp,8016.T,23,1.0,0.1424,3.07,False
rate_jp,8022.T,11,-1.0,-0.1644,-3.61,False
rate_jp,8057.T,9,-1.0,-0.1622,-3.57,False
rate_jp,8130.T,23,1.0,0.1533,3.32,False
rate_jp,8218.T,23,1.0,0.1596,3.46,False
rate_jp,8346.T,23,1.0,0.1396,3.01,False
rate_jp,8386.T,12,1.0,0.1383,3.02,False
