family,lead,target,w,tgt,half,slope,t,n,p,hit
JP→JP,その他製品,その他金融業,1,1,H1,-0.10045,-2.24754,2454,0.02461,0.48492
JP→JP,その他製品,ガラス・土石製品,1,1,H1,-0.06823,-2.60591,2454,0.00916,0.49063
JP→JP,その他製品,ゴム製品,1,1,H1,0.03049,0.71848,2454,0.47246,0.51834
JP→JP,その他製品,サービス業,1,1,H1,-0.0351,-1.49124,2454,0.1359,0.48411
JP→JP,その他製品,パルプ・紙,1,1,H1,0.02813,0.53437,2454,0.59309,0.50407
JP→JP,その他製品,不動産業,1,1,H1,-0.06471,-1.6213,2454,0.10495,0.50367
JP→JP,その他製品,保険業,1,1,H1,0.0418,0.62994,2454,0.52873,0.51793
JP→JP,その他製品,化学,1,1,H1,-0.01279,-0.89018,2454,0.37337,0.52282
JP→JP,その他製品,医薬品,1,1,H1,0.06432,1.80599,2454,0.07092,0.51182
JP→JP,その他製品,卸売業,1,1,H1,0.0174,1.21173,2454,0.22562,0.50122
JP→JP,その他製品,小売業,1,1,H1,0.02101,0.87259,2454,0.38289,0.50448
JP→JP,その他製品,建設業,1,1,H1,-0.04646,-1.97462,2454,0.04831,0.50448
JP→JP,その他製品,情報・通信業,1,1,H1,-0.00604,-0.27638,2454,0.78226,0.50448
JP→JP,その他製品,機械,1,1,H1,-0.01415,-0.65354,2454,0.51341,0.50326
JP→JP,その他製品,水産・農林業,1,1,H1,0.02153,0.54807,2454,0.58365,0.49511
JP→JP,その他製品,海運業,1,1,H1,0.05756,0.88906,2454,0.37397,0.51508
JP→JP,その他製品,石油・石炭製品,1,1,H1,-0.05046,-0.90831,2454,0.36371,0.49267
JP→JP,その他製品,精密機器,1,1,H1,0.01796,0.83254,2454,0.4051,0.50815
JP→JP,その他製品,繊維製品,1,1,H1,-0.01299,-0.47679,2454,0.63351,0.50285
JP→JP,その他製品,証券、商品先物取引業,1,1,H1,-0.02993,-0.67844,2454,0.49749,0.50122
JP→JP,その他製品,輸送用機器,1,1,H1,0.03895,1.11014,2454,0.26694,0.51874
JP→JP,その他製品,金属製品,1,1,H1,-0.04104,-1.78004,2454,0.07507,0.49144
JP→JP,その他製品,鉄鋼,1,1,H1,-0.04801,-1.16324,2454,0.24473,0.49552
JP→JP,その他製品,鉱業,1,1,H1,0.06128,1.25756,2454,0.20855,0.51263
JP→JP,その他製品,銀行業,1,1,H1,0.0513,1.49301,2454,0.13544,0.50611
JP→JP,その他製品,電気・ガス業,1,1,H1,0.04116,0.799,2454,0.42429,0.49878
JP→JP,その他製品,電気機器,1,1,H1,0.01548,0.74107,2454,0.45865,0.52363
JP→JP,その他製品,非鉄金属,1,1,H1,0.0072,0.19567,2454,0.84487,0.49226
JP→JP,その他製品,食料品,1,1,H1,0.0463,1.50645,2454,0.13195,0.49185
JP→JP,その他金融業,その他製品,1,1,H1,-0.00648,-0.88853,2454,0.37426,0.48655
JP→JP,その他金融業,ガラス・土石製品,1,1,H1,0.00147,0.14844,2454,0.882,0.511
JP→JP,その他金融業,ゴム製品,1,1,H1,0.00316,0.19352,2454,0.84655,0.50774
JP→JP,その他金融業,サービス業,1,1,H1,0.00786,0.83649,2454,0.40288,0.50204
JP→JP,その他金融業,パルプ・紙,1,1,H1,0.01345,0.65582,2454,0.51194,0.49674
JP→JP,その他金融業,不動産業,1,1,H1,0.02102,1.23435,2454,0.21707,0.51263
JP→JP,その他金融業,保険業,1,1,H1,-0.02265,-0.76322,2454,0.44533,0.4943
JP→JP,その他金融業,化学,1,1,H1,-0.00365,-0.62516,2454,0.53187,0.48452
JP→JP,その他金融業,医薬品,1,1,H1,-0.01268,-1.05785,2454,0.29013,0.4947
JP→JP,その他金融業,卸売業,1,1,H1,0.0029,0.51022,2454,0.6099,0.49796
JP→JP,その他金融業,小売業,1,1,H1,0.00352,0.37457,2454,0.70798,0.50041
JP→JP,その他金融業,建設業,1,1,H1,0.02714,2.82423,2454,0.00474,0.50774
JP→JP,その他金融業,情報・通信業,1,1,H1,0.00925,1.02164,2454,0.30695,0.50693
JP→JP,その他金融業,機械,1,1,H1,0.00591,0.72668,2454,0.46742,0.49593
JP→JP,その他金融業,水産・農林業,1,1,H1,0.01009,0.68104,2454,0.49584,0.49919
JP→JP,その他金融業,海運業,1,1,H1,-0.00408,-0.15654,2454,0.8756,0.50041
JP→JP,その他金融業,石油・石炭製品,1,1,H1,-0.02716,-1.25922,2454,0.20795,0.50489
JP→JP,その他金融業,精密機器,1,1,H1,-0.00883,-1.07589,2454,0.28198,0.48778
JP→JP,その他金融業,繊維製品,1,1,H1,0.00281,0.27847,2454,0.78065,0.49552
JP→JP,その他金融業,証券、商品先物取引業,1,1,H1,0.02072,1.10636,2454,0.26857,0.48574
JP→JP,その他金融業,輸送用機器,1,1,H1,-0.00846,-0.63728,2454,0.52394,0.51385
JP→JP,その他金融業,金属製品,1,1,H1,0.00623,0.74809,2454,0.45441,0.48574
JP→JP,その他金融業,鉄鋼,1,1,H1,0.01661,1.03093,2454,0.30257,0.50448
JP→JP,その他金融業,鉱業,1,1,H1,-0.02586,-1.30245,2454,0.19276,0.49715
JP→JP,その他金融業,銀行業,1,1,H1,-0.00815,-0.57471,2454,0.56549,0.51508
JP→JP,その他金融業,電気・ガス業,1,1,H1,-0.0364,-1.79252,2454,0.07305,0.50285
JP→JP,その他金融業,電気機器,1,1,H1,-0.01503,-1.98887,2454,0.04672,0.49511
JP→JP,その他金融業,非鉄金属,1,1,H1,0.015,1.0885,2454,0.27637,0.50856
JP→JP,その他金融業,食料品,1,1,H1,-0.0134,-1.2329,2454,0.21761,0.48696
JP→JP,ガラス・土石製品,その他製品,1,1,H1,-0.0285,-2.09274,2454,0.03637,0.49837
JP→JP,ガラス・土石製品,その他金融業,1,1,H1,0.07777,2.16685,2454,0.03025,0.52608
JP→JP,ガラス・土石製品,ゴム製品,1,1,H1,0.01958,0.62912,2454,0.52927,0.4943
JP→JP,ガラス・土石製品,サービス業,1,1,H1,-0.01112,-0.66671,2454,0.50495,0.49837
JP→JP,ガラス・土石製品,パルプ・紙,1,1,H1,-0.02762,-0.68451,2454,0.49365,0.49389
JP→JP,ガラス・土石製品,不動産業,1,1,H1,0.07958,2.43668,2454,0.01482,0.50326
JP→JP,ガラス・土石製品,保険業,1,1,H1,0.0411,0.82804,2454,0.40765,0.50285
JP→JP,ガラス・土石製品,化学,1,1,H1,0.00874,0.82391,2454,0.40999,0.50856
JP→JP,ガラス・土石製品,医薬品,1,1,H1,-0.07,-2.84282,2454,0.00447,0.48289
JP→JP,ガラス・土石製品,卸売業,1,1,H1,-0.01948,-1.79624,2454,0.07246,0.47148
JP→JP,ガラス・土石製品,小売業,1,1,H1,-0.0488,-2.69655,2454,0.00701,0.47963
JP→JP,ガラス・土石製品,建設業,1,1,H1,0.00222,0.12128,2454,0.90347,0.50733
JP→JP,ガラス・土石製品,情報・通信業,1,1,H1,-0.00194,-0.12525,2454,0.90033,0.50652
JP→JP,ガラス・土石製品,機械,1,1,H1,0.04624,2.84097,2454,0.0045,0.51915
JP→JP,ガラス・土石製品,水産・農林業,1,1,H1,-0.03427,-1.22876,2454,0.21916,0.48248
JP→JP,ガラス・土石製品,海運業,1,1,H1,0.12646,2.72976,2454,0.00634,0.50163
JP→JP,ガラス・土石製品,石油・石炭製品,1,1,H1,-0.02668,-0.64463,2454,0.51917,0.49063
JP→JP,ガラス・土石製品,精密機器,1,1,H1,-0.02133,-1.35567,2454,0.1752,0.48085
JP→JP,ガラス・土石製品,繊維製品,1,1,H1,-0.02631,-1.34699,2454,0.17798,0.49348
JP→JP,ガラス・土石製品,証券、商品先物取引業,1,1,H1,0.02826,0.85104,2454,0.39475,0.522
JP→JP,ガラス・土石製品,輸送用機器,1,1,H1,0.06376,2.51992,2454,0.01174,0.51997
JP→JP,ガラス・土石製品,金属製品,1,1,H1,0.01178,0.72089,2454,0.47098,0.50978
JP→JP,ガラス・土石製品,鉄鋼,1,1,H1,0.04106,1.31723,2454,0.18776,0.50081
