family,src,target,w,h,half,slope,t,n,p,sign
成本,16,その他製品,1,1,H1,0.23595,0.47154,119,0.63726,-1
成本,16,その他製品,1,1,H2,-0.34689,-1.51605,119,0.12951,-1
成本,16,その他製品,1,3,H1,0.73723,0.82504,119,0.40935,-1
成本,16,その他製品,1,3,H2,-0.59811,-1.07387,117,0.28288,-1
成本,16,その他製品,1,6,H1,0.45776,0.29165,119,0.77055,-1
成本,16,その他製品,1,6,H2,-1.92127,-2.15963,114,0.0308,-1
成本,16,その他製品,3,1,H1,0.09536,0.53005,119,0.59607,-1
成本,16,その他製品,3,1,H2,-0.08637,-0.84106,119,0.40032,-1
成本,16,その他製品,3,3,H1,0.2113,0.47779,119,0.6328,-1
成本,16,その他製品,3,3,H2,-0.26197,-1.06831,117,0.28538,-1
成本,16,その他製品,3,6,H1,0.23635,0.3038,119,0.76128,-1
成本,16,その他製品,3,6,H2,-0.81255,-1.95671,114,0.05038,-1
成本,16,その他製品,6,1,H1,-0.00952,-0.09362,119,0.92541,-1
成本,16,その他製品,6,1,H2,-0.07233,-1.2392,119,0.21527,-1
成本,16,その他製品,6,3,H1,0.03686,0.13973,119,0.88887,-1
成本,16,その他製品,6,3,H2,-0.22164,-1.46846,117,0.14198,-1
成本,16,その他製品,6,6,H1,0.06528,0.12644,119,0.89939,-1
成本,16,その他製品,6,6,H2,-0.47404,-1.97631,114,0.04812,-1
成本,22,その他製品,1,1,H1,-0.08087,-0.14495,119,0.88475,-1
成本,22,その他製品,1,1,H2,0.78306,2.9233,119,0.00346,-1
成本,22,その他製品,1,3,H1,0.3876,0.27452,119,0.78369,-1
成本,22,その他製品,1,3,H2,1.13836,1.60092,117,0.10939,-1
成本,22,その他製品,1,6,H1,0.94792,0.51335,119,0.6077,-1
成本,22,その他製品,1,6,H2,0.24145,0.23675,114,0.81285,-1
成本,22,その他製品,3,1,H1,-0.03628,-0.16987,119,0.86511,-1
成本,22,その他製品,3,1,H2,0.25234,2.31448,119,0.02064,-1
成本,22,その他製品,3,3,H1,0.04588,0.10677,119,0.91497,-1
成本,22,その他製品,3,3,H2,0.24804,0.83797,117,0.40205,-1
成本,22,その他製品,3,6,H1,0.20692,0.33191,119,0.73996,-1
成本,22,その他製品,3,6,H2,-0.30401,-0.53408,114,0.59329,-1
成本,22,その他製品,6,1,H1,-0.02112,-0.21116,119,0.83277,-1
成本,22,その他製品,6,1,H2,0.10063,1.19163,119,0.23341,-1
成本,22,その他製品,6,3,H1,-0.00796,-0.03336,119,0.97339,-1
成本,22,その他製品,6,3,H2,-0.00742,-0.04063,117,0.96759,-1
成本,22,その他製品,6,6,H1,0.11549,0.29535,119,0.76773,-1
成本,22,その他製品,6,6,H2,-0.42107,-1.00947,114,0.31275,-1
成本,39,その他製品,1,1,H1,-0.59993,-0.76748,119,0.4428,-1
成本,39,その他製品,1,1,H2,0.55087,1.2378,119,0.21579,-1
成本,39,その他製品,1,3,H1,-0.66662,-0.56934,119,0.56913,-1
成本,39,その他製品,1,3,H2,0.01053,0.01289,117,0.98971,-1
成本,39,その他製品,1,6,H1,-2.07708,-1.29443,119,0.19552,-1
成本,39,その他製品,1,6,H2,-1.89391,-1.37285,114,0.1698,-1
成本,39,その他製品,3,1,H1,-0.27069,-1.3274,119,0.18438,-1
成本,39,その他製品,3,1,H2,0.0524,0.28457,119,0.77598,-1
成本,39,その他製品,3,3,H1,-0.48373,-1.25236,119,0.21044,-1
成本,39,その他製品,3,3,H2,-0.45759,-0.95791,117,0.33811,-1
成本,39,その他製品,3,6,H1,-1.13916,-1.64005,119,0.10099,-1
成本,39,その他製品,3,6,H2,-1.48964,-1.92099,114,0.05473,-1
成本,39,その他製品,6,1,H1,-0.21315,-1.75111,119,0.07993,-1
成本,39,その他製品,6,1,H2,-0.0714,-0.60445,119,0.54554,-1
成本,39,その他製品,6,3,H1,-0.45385,-1.57406,119,0.11547,-1
成本,39,その他製品,6,3,H2,-0.44645,-1.4698,117,0.14162,-1
成本,39,その他製品,6,6,H1,-0.69694,-1.35125,119,0.17661,-1
成本,39,その他製品,6,6,H2,-0.90677,-1.99013,114,0.04658,-1
成本,20,その他製品,1,1,H1,0.20176,1.11574,119,0.26453,-1
成本,20,その他製品,1,1,H2,0.32476,2.13674,119,0.03262,-1
成本,20,その他製品,1,3,H1,0.53962,1.8888,119,0.05892,-1
成本,20,その他製品,1,3,H2,1.25489,3.6617,117,0.00025,-1
成本,20,その他製品,1,6,H1,0.996,1.59335,119,0.11108,-1
成本,20,その他製品,1,6,H2,2.30218,3.9404,114,8e-05,-1
成本,20,その他製品,3,1,H1,0.08195,1.3609,119,0.17354,-1
成本,20,その他製品,3,1,H2,0.18823,4.35822,119,1e-05,-1
成本,20,その他製品,3,3,H1,0.16734,0.98757,119,0.32336,-1
成本,20,その他製品,3,3,H2,0.67005,3.28412,117,0.00102,-1
