family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
主题 → 行业 / 主题,th:T1,T10,1,1,0,0.8331,0.5513,-0.0113,-0.0611,-0.2107,-0.5958,False,False
主题 → 行业 / 主题,th:T1,T10,1,1,3,0.637,0.5713,-0.0289,-0.062,-0.4719,-0.5661,False,False
主题 → 行业 / 主题,th:T1,T10,1,1,6,0.6252,0.8926,0.0304,-0.0142,0.4884,-0.135,False,False
主题 → 行业 / 主题,th:T1,T10,1,3,0,0.4269,0.0315,-0.0841,0.4175,-0.7944,2.1502,False,False
主题 → 行业 / 主题,th:T1,T10,1,3,3,0.5098,0.2402,0.0684,-0.2152,0.6591,-1.1745,False,False
主题 → 行业 / 主题,th:T1,T10,1,3,6,0.7261,0.4395,-0.0376,0.1655,-0.3503,0.773,False,False
主题 → 行业 / 主题,th:T1,T10,1,6,0,0.9582,0.8472,-0.0066,0.0529,-0.0524,0.1927,False,False
主题 → 行业 / 主题,th:T1,T10,1,6,3,0.8031,0.8664,0.0461,-0.0446,0.2493,-0.1683,False,False
主题 → 行业 / 主题,th:T1,T10,1,6,6,0.9708,0.2788,-0.0057,-0.2791,-0.0366,-1.0831,False,False
主题 → 行业 / 主题,th:T1,T10,3,1,0,0.7771,0.0259,-0.0094,0.1136,-0.2831,2.2284,False,False
主题 → 行业 / 主题,th:T1,T10,3,1,3,0.4731,0.1197,0.0249,-0.0864,0.7175,-1.5561,False,False
主题 → 行业 / 主题,th:T1,T10,3,1,6,0.9619,0.3295,0.0015,0.0541,0.0478,0.975,False,False
主题 → 行业 / 主题,th:T1,T10,3,3,0,0.5737,0.1774,-0.049,0.1781,-0.5626,1.3488,False,False
主题 → 行业 / 主题,th:T1,T10,3,3,3,0.1588,0.3963,0.0993,-0.1295,1.4091,-0.8482,False,False
主题 → 行业 / 主题,th:T1,T10,3,3,6,0.6691,0.5359,-0.0382,0.0875,-0.4274,0.619,False,False
主题 → 行业 / 主题,th:T1,T10,3,6,0,0.5761,0.9455,0.0635,0.0166,0.5591,0.0684,False,False
主题 → 行业 / 主题,th:T1,T10,3,6,3,0.6693,0.7059,0.0661,-0.0835,0.4271,-0.3774,False,False
主题 → 行业 / 主题,th:T1,T10,3,6,6,0.9746,0.3975,0.0038,-0.1814,0.0318,-0.8461,False,False
主题 → 行业 / 主题,th:T1,T10,6,1,0,0.6054,0.8645,0.0114,0.0073,0.5166,0.1707,False,False
主题 → 行业 / 主题,th:T1,T10,6,1,3,0.5154,0.4744,0.0137,-0.0245,0.6504,-0.7154,False,False
主题 → 行业 / 主题,th:T1,T10,6,1,6,0.6775,0.1681,0.0078,-0.0502,0.4159,-1.3782,False,False
主题 → 行业 / 主题,th:T1,T10,6,3,0,0.5591,0.9489,0.0289,0.0081,0.5842,0.0641,False,False
主题 → 行业 / 主题,th:T1,T10,6,3,3,0.5585,0.7081,0.036,-0.0427,0.5851,-0.3744,False,False
主题 → 行业 / 主题,th:T1,T10,6,3,6,0.9053,0.3457,0.0065,-0.0974,0.119,-0.9429,False,False
主题 → 行业 / 主题,th:T1,T10,6,6,0,0.459,0.7058,0.073,-0.0725,0.7405,-0.3774,False,False
主题 → 行业 / 主题,th:T1,T10,6,6,3,0.6536,0.3553,0.0456,-0.1657,0.4488,-0.9243,False,False
主题 → 行业 / 主题,th:T1,T10,6,6,6,0.0603,0.2828,0.1122,-0.2554,1.8786,-1.0741,False,False
主题 → 行业 / 主题,th:T1,T11,1,1,0,0.6032,0.4363,0.0333,-0.1002,0.5198,-0.7784,False,False
主题 → 行业 / 主题,th:T1,T11,1,1,3,0.4303,0.7481,0.0544,0.0328,0.7887,0.3211,False,False
主题 → 行业 / 主题,th:T1,T11,1,1,6,0.6514,0.2485,-0.0304,-0.1058,-0.4518,-1.154,False,False
主题 → 行业 / 主题,th:T1,T11,1,3,0,0.5924,0.2015,0.0513,0.2339,0.5354,1.2772,False,False
主题 → 行业 / 主题,th:T1,T11,1,3,3,0.0664,0.3237,0.2078,-0.2079,1.836,-0.9868,False,False
主题 → 行业 / 主题,th:T1,T11,1,3,6,0.2696,0.8901,-0.1196,-0.0298,-1.1039,-0.1381,False,False
主题 → 行业 / 主题,th:T1,T11,1,6,0,0.0995,0.6763,0.2546,-0.0781,1.6472,-0.4176,False,False
主题 → 行业 / 主题,th:T1,T11,1,6,3,0.5557,0.7021,0.1151,-0.1129,0.5893,-0.3825,False,False
主题 → 行业 / 主题,th:T1,T11,1,6,6,0.1337,0.7466,-0.1873,0.0744,-1.4995,0.3232,False,False
主题 → 行业 / 主题,th:T1,T11,3,1,0,0.4848,0.2424,0.0197,0.0621,0.6986,1.1691,False,False
主题 → 行业 / 主题,th:T1,T11,3,1,3,0.054,0.1731,0.0707,-0.0731,1.9266,-1.3622,False,False
主题 → 行业 / 主题,th:T1,T11,3,1,6,0.3027,0.9143,-0.0328,-0.006,-1.0306,-0.1077,False,False
主题 → 行业 / 主题,th:T1,T11,3,3,0,0.408,0.3405,0.0669,0.0962,0.8274,0.9532,False,False
主题 → 行业 / 主题,th:T1,T11,3,3,3,0.0908,0.1747,0.1355,-0.2071,1.6912,-1.3573,False,False
主题 → 行业 / 主题,th:T1,T11,3,3,6,0.0427,0.2777,-0.1345,0.1827,-2.0268,1.0855,False,False
主题 → 行业 / 主题,th:T1,T11,3,6,0,0.0806,0.2336,0.2098,-0.1596,1.7474,-1.1911,False,False
主题 → 行业 / 主题,th:T1,T11,3,6,3,0.9381,0.8251,0.0109,-0.058,0.0776,-0.2209,False,False
主题 → 行业 / 主题,th:T1,T11,3,6,6,0.1427,0.5905,-0.1491,0.077,-1.466,0.5382,False,False
主题 → 行业 / 主题,th:T1,T11,6,1,0,0.0265,0.7561,0.0468,-0.0113,2.2194,-0.3106,False,False
主题 → 行业 / 主题,th:T1,T11,6,1,3,0.4619,0.2016,0.0191,-0.0471,0.7357,-1.2771,False,False
主题 → 行业 / 主题,th:T1,T11,6,1,6,0.1399,0.864,-0.0238,0.0051,-1.4762,0.1713,False,False
主题 → 行业 / 主题,th:T1,T11,6,3,0,0.0626,0.4286,0.098,-0.0726,1.8624,-0.7916,False,False
主题 → 行业 / 主题,th:T1,T11,6,3,3,0.9447,0.8457,0.0041,-0.0293,0.0694,-0.1946,False,False
主题 → 行业 / 主题,th:T1,T11,6,3,6,0.1475,0.3453,-0.0651,0.0735,-1.4483,0.9438,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,0,0.2575,0.4217,0.1103,-0.1447,1.1323,-0.8035,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,3,0.5535,0.941,-0.0542,-0.011,-0.5925,-0.074,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,6,0.7961,0.8736,-0.0237,-0.0191,-0.2584,-0.1591,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,0,0.7107,0.7743,0.0252,-0.0362,0.371,-0.2867,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,3,0.3836,0.5297,0.0614,-0.0691,0.8713,-0.6285,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,6,0.6518,0.1144,-0.0271,-0.1861,-0.4513,-1.5789,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,0,0.9863,0.826,-0.0019,0.0477,-0.0172,0.2198,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,3,0.0057,0.8714,0.2716,-0.0391,2.7646,-0.1619,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,6,0.7631,0.0911,-0.0339,-0.3699,-0.3014,-1.6896,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,0,0.0524,0.8332,0.2777,-0.0716,1.9395,-0.2106,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,3,0.0768,0.1694,0.2559,-0.4379,1.7697,-1.374,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,6,0.3064,0.9366,-0.1278,-0.0281,-1.0228,-0.0796,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,0,0.9002,0.7562,0.0043,0.0184,0.1255,0.3105,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,3,0.0084,0.7388,0.0812,-0.0219,2.6353,-0.3334,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,6,0.958,0.0912,0.0018,-0.1157,0.0526,-1.689,False,False
