family,src,target,w,h,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
原材料 → 行业,chem,Aero,1,1,0.9524,0.6961,-0.0144,-0.0864,-0.0597,-0.3906,False,False
原材料 → 行业,chem,Aero,1,3,0.8825,0.1055,0.0715,0.6434,0.1478,1.6187,False,False
原材料 → 行业,chem,Aero,1,6,0.5085,0.2122,0.6886,0.7102,0.6612,1.2476,False,False
原材料 → 行业,chem,Aero,3,1,0.8415,0.4462,0.0148,0.0607,0.2,0.7617,False,False
原材料 → 行业,chem,Aero,3,3,0.674,0.1479,0.088,0.2826,0.4207,1.447,False,False
原材料 → 行业,chem,Aero,3,6,0.2854,0.2555,0.4472,0.3279,1.0682,1.1371,False,False
原材料 → 行业,chem,Aero,6,1,0.5585,0.3448,0.0262,0.0443,0.5851,0.9447,False,False
原材料 → 行业,chem,Aero,6,3,0.3246,0.2574,0.1255,0.1337,0.9851,1.1326,False,False
原材料 → 行业,chem,Aero,6,6,0.0842,0.2867,0.3875,0.204,1.7269,1.0654,False,False
原材料 → 行业,chem,Agric,1,1,0.8974,0.7624,-0.0433,-0.1019,-0.1289,-0.3023,False,False
原材料 → 行业,chem,Agric,1,3,0.6005,0.8863,0.3999,0.0935,0.5237,0.143,False,False
原材料 → 行业,chem,Agric,1,6,0.4883,0.2206,0.7469,1.0868,0.6931,1.2248,False,False
原材料 → 行业,chem,Agric,3,1,0.7667,0.6529,0.0374,0.0592,0.2968,0.4497,False,False
原材料 → 行业,chem,Agric,3,3,0.5851,0.3001,0.1672,0.2891,0.5459,1.0363,False,False
原材料 → 行业,chem,Agric,3,6,0.4822,0.1025,0.3433,0.779,0.7027,1.633,False,False
原材料 → 行业,chem,Agric,6,1,0.7207,0.3474,0.0236,0.066,0.3576,0.9397,False,False
原材料 → 行业,chem,Agric,6,3,0.5228,0.1201,0.1056,0.2961,0.639,1.5544,False,False
原材料 → 行业,chem,Agric,6,6,0.6268,0.0409,0.1373,0.6948,0.4863,2.0449,False,False
原材料 → 行业,chem,Autos,1,1,0.865,0.167,-0.0482,-0.5289,-0.17,-1.3821,False,False
原材料 → 行业,chem,Autos,1,3,0.0404,0.0647,-1.2374,-1.6611,-2.0499,-1.8474,False,False
原材料 → 行业,chem,Autos,1,6,0.0002,0.0362,-2.8648,-3.496,-3.6981,-2.0943,True,True
原材料 → 行业,chem,Autos,3,1,0.2062,0.1174,-0.1101,-0.2982,-1.2642,-1.5658,False,False
原材料 → 行业,chem,Autos,3,3,0.0081,0.071,-0.5633,-0.8598,-2.6489,-1.8054,False,False
原材料 → 行业,chem,Autos,3,6,0.0027,0.0635,-1.1409,-1.7348,-2.996,-1.8557,True,True
原材料 → 行业,chem,Autos,6,1,0.1021,0.0353,-0.0722,-0.238,-1.6345,-2.1046,False,False
原材料 → 行业,chem,Autos,6,3,0.0075,0.0455,-0.3175,-0.6961,-2.6739,-2.0004,False,False
原材料 → 行业,chem,Autos,6,6,0.0366,0.0505,-0.5474,-1.1369,-2.0897,-1.9558,False,False
原材料 → 行业,chem,Banks,1,1,0.8111,0.2331,-0.07,0.2714,-0.239,1.1925,False,False
原材料 → 行业,chem,Banks,1,3,0.5202,0.3428,-0.4869,0.4989,-0.643,0.9486,False,False
原材料 → 行业,chem,Banks,1,6,0.2444,0.4163,-1.1348,-0.5223,-1.164,-0.8129,False,False
原材料 → 行业,chem,Banks,3,1,0.4884,0.5015,-0.0834,0.0631,-0.6928,0.6721,False,False
原材料 → 行业,chem,Banks,3,3,0.3876,0.7909,-0.2532,-0.0546,-0.864,-0.2652,False,False
原材料 → 行业,chem,Banks,3,6,0.1941,0.0765,-0.5024,-0.5297,-1.2986,-1.7716,False,False
原材料 → 行业,chem,Banks,6,1,0.3759,0.4867,-0.0522,-0.0331,-0.8854,-0.6956,False,False
原材料 → 行业,chem,Banks,6,3,0.2626,0.1295,-0.1497,-0.1827,-1.1203,-1.5159,False,False
原材料 → 行业,chem,Banks,6,6,0.0976,0.0097,-0.3484,-0.4595,-1.6564,-2.5873,False,False
原材料 → 行业,chem,Beer,1,1,0.0243,0.2993,-0.5384,0.2228,-2.2528,1.038,False,False
原材料 → 行业,chem,Beer,1,3,0.0216,0.0502,-1.502,0.9764,-2.2966,1.9579,False,False
原材料 → 行业,chem,Beer,1,6,0.0021,0.0265,-2.834,1.9683,-3.0769,2.2192,True,False
原材料 → 行业,chem,Beer,3,1,0.0348,0.0409,-0.2115,0.1975,-2.1102,2.0445,False,False
原材料 → 行业,chem,Beer,3,3,0.0326,0.0288,-0.5441,0.547,-2.1367,2.1864,False,False
原材料 → 行业,chem,Beer,3,6,0.0009,0.0384,-1.0955,0.9855,-3.3347,2.0705,True,False
原材料 → 行业,chem,Beer,6,1,0.0234,0.0591,-0.1169,0.11,-2.2673,1.8878,False,False
原材料 → 行业,chem,Beer,6,3,0.0042,0.0353,-0.3268,0.3729,-2.8601,2.1048,False,False
原材料 → 行业,chem,Beer,6,6,0.0005,0.0795,-0.5721,0.5573,-3.478,1.7536,True,False
原材料 → 行业,chem,BldMt,1,1,0.2263,0.7914,-0.166,-0.0513,-1.21,-0.2645,False,False
原材料 → 行业,chem,BldMt,1,3,0.228,0.1169,-0.3453,-0.6041,-1.2055,-1.568,False,False
