variant,exit,macro,full_cagr_pct,full_max_dd_pct,full_sharpe,full_calmar,full_trades,full_win_rate,div_cagr_pct,div_max_dd_pct,div_sharpe,div_calmar,div_trades,div_win_rate,oos_cagr_pct,oos_max_dd_pct,oos_sharpe,oos_calmar,oos_trades,oos_win_rate,oos_pos_windows,oos_windows,secs
X0_M4,X0,M4,5.85,-5.95,0.91,0.98,83,53.0,3.4,-3.82,1.0,0.89,141,53.2,3.59,-7.33,0.59,0.49,53,52.8,6,6,164
X1_M4,X1,M4,9.9,-14.74,1.02,0.67,48,56.2,7.22,-8.09,1.06,0.89,116,56.0,12.02,-10.88,1.28,1.1,29,55.2,4,6,157
X2_M4,X2,M4,4.75,-24.38,0.45,0.19,46,54.3,6.68,-15.12,0.87,0.44,112,58.0,5.4,-18.98,0.53,0.28,23,47.8,3,6,162
X0_M0,X0,M0,9.02,-7.46,1.17,1.21,102,56.9,4.19,-4.2,1.01,1.0,170,52.9,7.53,-4.75,1.27,1.59,38,63.2,5,6,153
X1_M0,X1,M0,14.55,-11.31,1.3,1.29,53,58.5,9.11,-8.8,1.18,1.04,130,56.9,7.66,-11.23,0.87,0.68,25,52.0,4,6,152
X2_M0,X2,M0,13.49,-20.64,1.02,0.65,52,59.6,8.31,-15.73,0.97,0.53,127,58.3,12.76,-14.84,1.17,0.86,30,56.7,5,6,153
X0_M2,X0,M2,12.4,-7.34,1.56,1.69,100,58.0,4.01,-3.54,1.04,1.13,170,52.9,5.0,-4.75,0.89,1.05,39,56.4,4,6,155
X1_M2,X1,M2,12.85,-16.85,1.23,0.76,52,53.8,8.47,-8.76,1.16,0.97,130,56.9,-0.1,-8.94,0.02,-0.01,18,44.4,2,6,148
X2_M2,X2,M2,13.87,-22.43,1.06,0.62,50,62.0,7.9,-15.45,0.96,0.51,127,58.3,9.66,-17.02,0.92,0.57,31,54.8,3,6,147
X0_M1,X0,M1,11.87,-7.3,1.46,1.63,102,56.9,4.22,-4.2,1.02,1.0,170,52.9,7.53,-4.75,1.27,1.59,38,63.2,5,6,150
X1_M1,X1,M1,12.91,-16.79,1.18,0.77,53,54.7,9.2,-8.8,1.19,1.05,130,56.9,-1.95,-11.23,-0.24,-0.17,17,35.3,2,6,147
X0_M3,X0,M3,7.98,-5.07,1.16,1.57,87,55.2,3.45,-3.71,0.94,0.93,153,52.9,7.57,-7.68,1.12,0.99,53,54.7,6,6,151
X1_M3,X1,M3,6.42,-21.11,0.71,0.3,48,56.2,7.29,-10.02,1.03,0.73,121,55.4,3.91,-12.11,0.51,0.32,27,40.7,3,6,154
