variant,exit,macro,full_cagr_pct,full_max_dd_pct,full_sharpe,full_calmar,full_trades,full_win_rate,div_cagr_pct,div_max_dd_pct,div_sharpe,div_calmar,div_trades,div_win_rate,oos_cagr_pct,oos_max_dd_pct,oos_sharpe,oos_calmar,oos_trades,oos_win_rate,oos_pos_windows,oos_windows,secs
X0_M4,X0,M4,0.86,-11.22,0.25,0.08,69,39.1,1.06,-4.64,0.55,0.23,69,40.6,1.22,-11.65,0.28,0.1,62,38.7,2,6,83
X1_M4,X1,M4,6.55,-10.79,0.97,0.61,56,57.1,4.48,-4.91,1.1,0.91,64,54.7,10.35,-6.86,1.23,1.51,48,54.2,5,6,76
X2_M4,X2,M4,5.82,-10.84,0.84,0.54,55,58.2,4.43,-4.91,1.05,0.9,64,56.2,12.39,-6.31,1.34,1.96,52,55.8,6,6,78
X0_M0,X0,M0,1.49,-13.19,0.35,0.11,81,42.0,1.82,-5.28,0.74,0.35,86,43.0,1.72,-11.23,0.34,0.15,73,42.5,2,6,82
X1_M0,X1,M0,6.43,-12.25,0.87,0.52,60,53.3,5.37,-5.63,1.13,0.95,75,54.7,21.27,-5.8,2.23,3.67,46,73.9,6,6,79
X2_M0,X2,M0,5.74,-12.12,0.75,0.47,59,54.2,5.28,-5.62,1.08,0.94,74,55.4,21.51,-5.83,2.23,3.69,46,73.9,6,6,83
X0_M2,X0,M2,1.09,-13.41,0.29,0.08,81,42.0,1.51,-5.0,0.69,0.3,86,43.0,3.5,-6.81,0.78,0.51,65,46.2,2,6,78
X1_M2,X1,M2,5.73,-11.68,0.84,0.49,60,53.3,5.09,-5.65,1.15,0.9,75,54.7,22.76,-4.49,2.47,5.06,45,75.6,6,6,77
X2_M2,X2,M2,4.89,-11.7,0.7,0.42,59,54.2,4.94,-5.64,1.09,0.88,74,55.4,22.83,-4.49,2.47,5.09,45,75.6,6,6,76
X0_M1,X0,M1,1.7,-13.19,0.4,0.13,81,42.0,1.91,-5.28,0.78,0.36,86,43.0,1.72,-12.05,0.34,0.14,73,42.5,2,6,77
X1_M1,X1,M1,6.73,-12.25,0.91,0.55,60,53.3,5.49,-5.63,1.16,0.98,75,54.7,21.55,-4.5,2.29,4.79,46,73.9,6,6,76
X0_M3,X0,M3,0.62,-12.29,0.17,0.05,77,40.3,1.02,-5.13,0.51,0.2,77,41.6,1.04,-12.43,0.23,0.08,69,40.6,2,6,78
X1_M3,X1,M3,5.91,-11.97,0.86,0.49,59,54.2,4.83,-5.51,1.12,0.88,71,54.9,18.46,-5.28,2.17,3.49,44,70.5,6,6,80
