entry_date,ticker,shares_live,shares_eng,entry_px_live,entry_px_eng,exit_date_live,exit_date_eng,exit_px_live,exit_px_eng,pnl_live,pnl_eng,reason,match
2025-10-31,2871.T,100,100,1790.8041,1790.8041,2025-11-13,2025-11-13,1800.5489,1800.5489,974.48,974.48,dead_cross,both
2025-11-05,4503.T,200,200,1707.3277,1707.3277,2025-12-05,2025-12-05,1967.6471,1967.6471,52063.88,52063.88,dead_cross,both
2025-11-10,2801.T,200,200,1385.3516,1385.3516,2025-12-04,2025-12-04,1364.2941,1364.2941,-4211.49,-4211.49,dead_cross,both
2025-11-17,6753.T,400,400,865.1643,865.1643,2025-11-18,2025-11-18,791.8074,791.8074,-29342.76,-29342.76,dead_cross,both
2025-11-25,4183.T,100,100,1826.1922,1826.1922,2025-12-18,2025-12-18,1893.0934,1893.0934,6690.12,6690.12,dead_cross,both
2025-12-19,8252.T,100,100,3179.8172,3179.8172,2026-01-08,2026-01-08,3144.1252,3144.1252,-3569.2,-3569.2,dead_cross,both
2026-01-14,7267.T,200,200,1570.0032,1570.0032,2026-01-27,2026-01-27,1509.4648,1509.4648,-12107.68,-12107.68,dead_cross,both
2026-01-21,2871.T,100,100,1916.3879,1916.3879,2026-03-05,2026-03-05,2067.0045,2067.0045,15061.67,15061.67,dead_cross,both
2026-02-05,6724.T,100,100,2074.5098,2074.5098,2026-02-24,2026-02-24,2017.4168,2017.4168,-5709.3,-5709.3,dead_cross,both
2026-02-05,6770.T,100,100,2096.5738,2096.5738,2026-03-04,2026-03-04,2072.6918,2072.6918,-2388.2,-2388.2,dead_cross,both
2026-04-14,9434.T,1500,1500,218.6184,218.6184,2026-04-27,2026-04-27,219.78,219.78,1742.41,1742.41,dead_cross,both
2026-05-13,4901.T,100,100,3333.33,3333.33,2026-06-16,2026-06-16,3394.602,3394.602,6127.2,6127.2,dead_cross,both
