entry_date,ticker,shares_live,shares_eng,entry_px_live,entry_px_eng,exit_date_live,exit_date_eng,exit_px_live,exit_px_eng,pnl_live,pnl_eng,reason,match
2025-09-22,MAR,7,7,263.707,263.707,2025-12-16,2025-12-16,306.5021,306.5021,279.81,279.81,max_hold,both
2025-10-02,MRK,22,22,87.4278,87.4278,2025-11-04,2025-11-04,80.3007,80.3007,-175.06,-175.06,stop,both
2025-10-02,REGN,3,3,597.6555,597.6555,2025-10-14,2025-10-14,553.8017,553.8017,-148.66,-148.66,stop,both
2025-10-21,PCAR,20,20,96.3832,96.3832,2026-01-16,2026-01-16,120.9057,120.9057,468.94,468.94,take_profit,both
2025-10-22,MMM,11,11,164.2123,164.2123,2026-01-20,2026-01-20,157.1541,157.1541,-95.14,-95.14,max_hold,both
2025-11-04,IDXX,2,2,717.7987,717.7987,2025-12-24,2025-12-24,683.628,683.628,-82.22,-82.22,trail,both
2025-11-24,GEHC,26,26,76.4325,76.4325,2026-01-21,2026-01-21,79.3268,79.3268,55.21,55.21,trail,both
2025-12-19,SBUX,23,23,87.6722,87.6722,2026-01-30,2026-01-30,91.0204,91.0204,56.66,56.66,trail,both
2026-01-20,GILD,17,17,121.673,121.673,2026-02-12,2026-02-12,150.6334,150.6334,469.41,469.41,take_profit,both
2026-01-30,IBM,7,7,301.6097,301.6097,2026-02-12,2026-02-12,266.2808,266.2808,-266.98,-266.98,stop,both
2026-05-01,ORLY,21,21,100.05,100.05,2026-05-11,2026-05-11,92.2838,92.2838,-183.08,-183.08,stop,both
2026-05-01,XEL,25,25,81.7116,81.7116,2026-06-02,2026-06-02,75.135,75.135,-183.83,-183.83,stop,both
2026-07-30,GEHC,28,28,71.4057,71.4057,2026-09-09,2026-09-09,66.2868,66.2868,-162.41,-162.41,trail,both
